Snowball.Map,Name,Contact.Last.Name,Contact.First.Name,Contact.Salutation,Contact.Gender.Code,Contact.Title.Description,Price,Reviews,Category,Phone.Number,FullAddress,Street,City,State,Zip,Location.Sales.Volume.Description,Location.Employment.Size.Description,Small.Business.Entrepreneur.Indicator,Vendor.Ethnicity.Description,infoUSA.ID,Franchise.Specialty.Description1,True.Franchise.Indicator
72117,Jessica's Restaurant,LAI,ALLEN,MR,M,OWNER,$$,6,Chinese,(403) 272-3828,"['300 Merganser Drive West', 'Chestermere, AB T1X 1L6', 'Canada']",300 Merganser Drive West,Chestermere,AB,T1X 1L6,"LESS THAN $500,000",9-May,Y,Chinese,40241820,,
72118,Fortune One Chinese Restaurant,ENG,WILLIAM,MR,M,OWNER,null,6,Chinese,(403) 280-2926,"['5008 Whitehorn Drive NE', 'Calgary, AB T1Y 1V1', 'Canada']",5008 Whitehorn Drive NE,Calgary,AB,T1Y 1V1,"LESS THAN $500,000",4-Jan,Y,English,25608381,,
72119,Ginger Garden,,,,,,$$,8,Chinese,(403) 248-0050,"['6 - 6208 Rundlehorn Dr NE', 'Calgary, AB T1Y 2X1', 'Canada']",6-6208 Rundlehorn Dr NE,Calgary,AB,T1Y 2X1,,,,,NA,,
72120,Truly Good Chinese Food,,,,,,$,2,Chinese,(403) 293-8331,"['2640 52 Street NE', 'Calgary, AB T1Y 3R6', 'Canada']",2640 52 St NE,Calgary,AB,T1Y 3R6,,,,,NA,,
72121,Ruby Queen,LEUNG,ON,MR,M,OWNER,$$,7,Chinese,(403) 285-2933,"['5401 Temple Drive NE', 'Suite 102', 'Calgary, AB T1Y 3R7', 'Canada']",5401 Temple Dr NE Suite 102,Calgary,AB,T1Y 3R7,"LESS THAN $500,000",9-May,Y,Chinese,49063753,,
72122,Harvey & Connie Chinese Food,,,,,,null,3,Chinese,(403) 285-5550,"['7196 Temple Dr NE', 'Calgary, AB T1Y 4E8', 'Canada']",7196 Temple Dr NE,Calgary,AB,T1Y 4E8,,,,,NA,,
72123,Bamboo-House Chinese Food,HA,TUNG,MR,M,OWNER,$$,12,Chinese,(403) 285-5455,"['3304 64 Street NE', 'Calgary, AB T1Y 5R4', 'Canada']",3304 64 Street NE,Calgary,AB,T1Y 5R4,"LESS THAN $500,000",9-May,Y,Chinese,10631240,,
72124,Edo Japan,,,,,,null,3,Japanese,(403) 280-1748,"['Sunridge Mall', '2625 - 32 Street NE', 'F112', 'Calgary, AB T1Y 5T4', 'Canada']","Sunridge Mall, 2625 - 32 Street Ne, F112",Calgary,AB,T1Y 5T4,,,,,NA,,
72125,Banana Leaf Tropical Cuisine,ONG,RICHARD,MR,M,OWNER,$$,57,Chinese,(403) 450-3880,"['3330 32 Street NE', 'Calgary, AB T1Y 5Y9', 'Canada']",3330 32 St NE,Calgary,AB,T1Y 6B9,"LESS THAN $500,000",4-Jan,Y,Chinese,63263248,,
72126,Fat Kee Noodle House,CHAN,ALICE,MS,F,OWNER,$,28,Chinese,(403) 250-8436,"['3132 26 Street NE', 'Suite 345', 'Calgary, AB T1Y 6Z1', 'Canada']",3132 26 St NE Suite 345,Calgary,AB,T1Y 6Z1,"LESS THAN $500,000",4-Jan,Y,Chinese,25608290,,
72127,Ramen Ichinen,MATSUMOTO,MEGUMI,MS,F,OWNER,$$,63,Japanese,(403) 454-2646,"['349-3132 26 Street NE', 'Calgary, AB T1Y 6Z1', 'Canada']",349-3132 26 St NE,Calgary,AB,T1Y 6Z1,"LESS THAN $500,000",9-May,Y,Japanese,742956350,,
72128,Gong Kee BBQ Noodle House,LI,MARVIN,MR,M,OWNER,$$,7,Chinese,(403) 235-1993,"['4527 8 Avenue SE', 'Calgary, AB T2A 0A7', 'Canada']",4527 8 Avenue SE,Calgary,AB,T2A 0A7,"LESS THAN $500,000",9-May,Y,Chinese,25651134,,
72129,Far East Foods,LOWE,PETER,MR,M,OWNER,$,10,Chinese,(403) 272-8100,"['2830 17 Avenue SE', 'Calgary, AB T2A 0P8', 'Canada']",2830 17 Ave SE,Calgary,AB,T2A 0P8,"LESS THAN $500,000",9-May,Y,English,10909844,,
72130,Dragon Gate Restaurant,ZHONG,WEI,MS,F,OWNER,$$$,9,Chinese,(403) 272-8701,"['4408 17 Avenue SE', 'Calgary, AB T2A 0T6', 'Canada']",4408 17 Ave SE,Calgary,AB,T2A 0T6,"$500,000-1 MILLION",19-Oct,N,Chinese,10871572,,
72131,Hong Chou Inn,LIANG,JUN JUN,,,OWNER,$$$,7,Chinese,(403) 272-8433,"['4721A 17 Avenue SE', 'Calgary, AB T2A 0T9', 'Canada']",4721A 17 Ave SE,Calgary,AB,T2A 0T9,"LESS THAN $500,000",4-Jan,Y,Chinese,11020641,,
72132,Edo Japan,,,,,,$,2,Japanese,(403) 272-1665,"['3800 Memorial Drive NE', 'Unit 1332', 'Calgary, AB T2A 2K2', 'Canada']",3800 Memorial Dr NE Unit 1332,Calgary,AB,T2A 2K2,,,,,NA,,
72133,Winton Restaurant Chinese Food,CHAC,EDWARD,MR,M,OWNER,null,3,Chinese,(403) 273-4363,"['5268 Memorial Dr NE', 'Calgary, AB T2A 2R1', 'Canada']",5268 Memorial Dr NE,Calgary,AB,T2A 2R1,"LESS THAN $500,000",4-Jan,Y,Vietnamese,63738389,,
72134,Asian Grill BBQ & Chinese,,,,,,null,7,Chinese,(403) 204-8383,"['1440 52 Street NE', 'Unite 540', 'Calgary, AB T2A 4T8', 'Canada']",1440 52 St NE Unit 540,Calgary,AB,T2A 4T8,,,,,NA,,
72135,Panda Express,BABWANA,SUHAIL,MR,M,MANAGER,$$,21,Chinese,(403) 387-9288,"['631 - 409 East Hills Boulevard SE', 'Calgary, AB T2A 4X7', 'Canada']",631-409 East Hills Blvd SE,Calgary,AB,T2A 4X7,"LESS THAN $500,000",4-Jan,N,Arab,722628079,PANDA EXPRESS,
72136,Three Fortunes Chinese Food,CHU,MICHAEL,MR,M,OWNER,null,2,Chinese,(403) 273-4616,"['3-6060 Memorial Drive NE', 'Calgary, AB T2A 5Z5', 'Canada']",3-6060 Memorial Dr NE,Calgary,AB,T2A 5Z5,"LESS THAN $500,000",4-Jan,Y,Chinese,11486479,,
72137,Samurai Ramen and Sushi,,,,,,$$,39,Japanese,(587) 470-0808,"['920 36 Street NE', 'Suite 140', 'Calgary, AB T2A 6L8', 'Canada']",920 36 St NE Suite 140,Calgary,AB,T2A 6L8,,,,,NA,,
72138,Sushi Toki,CHEN,SHARON,MS,F,MANAGER,$$,27,Japanese,(403) 235-5055,"['3745 Memorial Drive SE', 'Unit 8', 'Calgary, AB T2A 6V4', 'Canada']",3745 Memorial Dr SE Unit 8,Calgary,AB,T2A 6V4,"LESS THAN $500,000",4-Jan,N,Chinese,48673669,,
72139,New Dynasty Buffet Restaurant,ZING,JUN,MR,M,OWNER,$$,19,Chinese,(403) 248-0061,"['575 28 Street SE', 'Calgary, AB T2A 6X1', 'Canada']",575 28 Street SE,Calgary,AB,T2A 6X1,"LESS THAN $500,000",9-May,Y,Chinese,27850478,,
72140,Oishii Sushi & Bento,XU,MICHAEL,MR,M,OWNER,null,3,Japanese,(403) 460-9400,"['515 Marlborough Way NE', 'Calgary, AB T2A 7E7', 'Canada']",515 Marlborough Way NE,Calgary,AB,T2A 7E7,"LESS THAN $500,000",9-May,Y,Chinese,439758974,,
72141,Happy Lamb Hot Pot,,,,,,null,5,Chinese,(403) 475-6889,"['999 36 St NE', 'Unit 100A', 'Calgary, AB T2A 7X6', 'Canada']",999 36 St NE Unit 100A,Calgary,AB,T2A 7X6,,,,,NA,,
72142,Forbidden City Dim Sum & Seafood Restaurant,,,,,,$$,70,Chinese,(403) 250-1848,"['999 36 Street NE', 'Suite 220', 'Calgary, AB T2A 7X6', 'Canada']",999 36 St NE Suite 220,Calgary,AB,T2A 7X6,"LESS THAN $500,000",,N,Unknown,763190574,,
72143,Pebble Street Restaurant,,,,,,$$,25,Chinese,(403) 204-1616,"['999 36 Street NE', 'Ste 220', 'Calgary, AB T2A 7X6', 'Canada']",999 36 St NE Ste 220,Calgary,AB,T2A 7X6,"LESS THAN $500,000",20-49,N,Unknown,763190570,,
72144,RoadKing Wok N Pub,AUBUT,RINA,MS,F,OWNER,null,3,Chinese,(403) 273-7698,"['4949 Barlow Trail SE', 'Calgary, AB T2B 3B5', 'Canada']",4949 Barlow Trail SE,Calgary,AB,T2B 3B5,"LESS THAN $500,000",9-May,Y,French,60549870,,
72145,Dragon Palace Restaurant,,,,,,null,7,Chinese,(403) 279-4471,"['2754 Glenmore Trail SE', 'Calgary, AB T2C 2E6', 'Canada']",2754 Glenmore Trail SE,Calgary,AB,T2C 2E6,,,,,NA,,
72146,Riverbend Peking House,MALIK,SABIHA,MS,F,OWNER,$$,23,Chinese,(403) 279-8134,"['8338 18 Street SE', 'Suite 232', 'Calgary, AB T2C 4L5', 'Canada']",8338 18 St SE Suite 232,Calgary,AB,T2C 4E4,$2.5-5 MILLION,9-May,Y,Arab,11351962,PETRO-CANADA,
72147,Oishii Sushi,,,,,,$$,101,Japanese,(403) 475-8333,"['338-8338 18 Street SE', 'Calgary, AB T2C 4E4', 'Canada']",338-8338 18 St SE,Calgary,AB,T2C 4E4,"$500,000-1 MILLION",19-Oct,N,Unknown,440519604,,
72148,Edo Japan,LAM,JOHNNY,MR,M,OWNER,null,3,Japanese,(403) 723-2290,"['3619 61 Avenue SE', 'Calgary, AB T2C 4T8', 'Canada']",3619 61 Avenue SE,Calgary,AB,T2C 4T8,"LESS THAN $500,000",9-May,Y,Vietnamese,39510482,,Y
72149,Wonton King,,,,,,$$,6,Chinese,(403) 278-8832,"['5330 72 Avenue SE', 'Ste 101', 'Calgary, AB T2C 4X5', 'Canada']",5330 72 Ave SE Ste 101,Calgary,AB,T2C 4X5,,,,,NA,,
72150,Edo Japan,TRAN,SUNNY,MS,F,SITE MANAGER,null,1,Japanese,(403) 723-0563,"['5329 72 Avenue SE', 'Bay 12&14', 'Calgary, AB T2C 4X6', 'Canada']","5329 72 Avenue Se, Bay 12&14",Calgary,AB,T2C 4X6,"LESS THAN $500,000",4-Jan,N,Vietnamese,56296700,,Y
72151,Japanese Cuisine Daruma,,,,,,$$,23,Japanese,(587) 352-7568,"['630 1 Avenue NE', 'Suite 6', 'Calgary, AB T2E 5B3', 'Canada']",630 1 Ave NE Suite 6,Calgary,AB,T2E 0B6,,,,,NA,,
72152,Shiki Menya,AIHARA,KOKI,,,OWNER,$$,124,Japanese,(403) 454-2722,"['824 1 Avenue NE', 'Calgary, AB T2E 0C3', 'Canada']",824 1 Ave NE,Calgary,AB,T2E 0C3,"$500,000-1 MILLION",19-Oct,N,Japanese,742951026,,
72153,Golden Island Restaurant,,,,,,null,4,Chinese,(403) 230-3088,"['122 16 Avenue NE', 'Calgary, AB T2E 1J5', 'Canada']",122 16 Ave NE,Calgary,AB,T2E 1J5,,,,,NA,,
72154,Marco's Kitchen,,,,,,null,5,Chinese,() ,"['222 16 Avenue NE', 'Calgary, AB T2E 1J8', 'Canada']",222 16 Avenue NE,Calgary,AB,T2E 1J8,,,,,NA,,
72155,Chili Hut,,,,,,null,3,Chinese,(403) 455-9777,"['11-222 16 Avenue NE', 'Calgary, AB T2E 1J8', 'Canada']",11-222 16 Ave NE,Calgary,AB,T2E 1J8,,,,,NA,,
72156,Lambo Noodle Bar,,,,,,null,14,Chinese,(403) 454-3880,"['222 - 16 Avenue NE', 'Suite 7', 'Calgary, AB T2E 1J8', 'Canada']",222 16 Ave NE Suite 7,Calgary,AB,T2E 1J8,,,,,NA,,
72157,Eastern Fortune Restaurant,LEE,YUNI,MS,F,PRESIDENT,$$,23,Chinese,(403) 230-9267,"['416 16 Avenue NE', 'Calgary, AB T2E 1K2', 'Canada']",416 16 Avenue NE,Calgary,AB,T2E 1K2,"LESS THAN $500,000",9-May,Y,English,29442308,,
72158,Shibuya Izakaya,LAU,KEVIN,MR,M,OWNER,$$,83,Japanese,(403) 277-8823,"['449 16 Avenue NE', 'Calgary, AB T2E 1K3', 'Canada']",449 16 Ave NE,Calgary,AB,T2E 1K3,"$500,000-1 MILLION",19-Oct,N,German,54167457,,
72159,Bubblemania Cafe,KOBAYASHI-HAN,EVE,MS,F,OWNER,$$,115,Chinese,(403) 277-9398,"['455 16th Avenue NE', 'Calgary, AB T2E 1K3', 'Canada']",455 16 Ave NE,Calgary,AB,T2E 1K3,$1-2.5 MILLION,20-49,N,Japanese,40245029,,
72160,Po-ke,,,,,,$$,90,Japanese,(403) 735-6129,"['908A Centre Street NE', 'Calgary, AB T2E 2P7', 'Canada']",908A Centre St NE,Calgary,AB,T2E 2P7,,,,,NA,,
72161,Tokyo Street Market,,,,,,null,113,Japanese,(403) 452-3794,"['922 Centre Street NE', 'Calgary, AB T2E 2P7', 'Canada']",922 Centre St NE,Calgary,AB,T2E 2P7,"LESS THAN $500,000",9-May,N,Unknown,440714672,,
72162,Tea Funny,GUAN,RAY,MR,M,OWNER,$$,48,Chinese,(403) 978-5888,"['123-1323 Centre Street', 'Calgary, AB T2E 2R5', 'Canada']",123-1323 Centre St NW,Calgary,AB,T2E 2R5,"LESS THAN $500,000",4-Jan,Y,Chinese,743273661,,
72163,The Captain's Boil,,,,,,$$$,49,Cajun Seafood,(403) 453-3808,"['1324 D Centre Street NE', 'Calgary, AB T2E 2R7', 'Canada']",1324 D Centre Street NE,Calgary,AB,T2E 2R7,,,,,NA,,
72164,Sun's BBQ Restaurant,,,,,,$$,85,Chinese,(403) 230-8890,"['1423 Centre Street NW', 'Calgary, AB T2E 2R8', 'Canada']",1423 Centre Street NW,Calgary,AB,T2E 2R8,,,,,NA,,
72165,Phoenix Gate Chinese Cuisine,,,,,,$$,12,Chinese,(403) 520-8098,"['171-1518 Centre Street NE', 'Calgary, AB T2E 2R9', 'Canada']",171-1518 Centre St NE,Calgary,AB,T2E 2R9,"$500,000-1 MILLION",19-Oct,N,Unknown,725609493,,
72166,Chef Tian Restaurant,,,,,,null,6,Chinese,(403) 719-9888,"['1713 Centre Street NW', 'Calgary, AB T2E 2S3', 'Canada']",1713 Centre Street NW,Calgary,AB,T2E 2S3,,,,,NA,,
72167,Sushi Bistro Anzu,,,,,,$$,27,Japanese,(403) 277-2077,"['1721 Centre Street NW', 'Calgary, AB T2E 2S3', 'Canada']",1721 Centre Street NW,Calgary,AB,T2E 2S3,,,,,NA,,
72168,Boom-Boom Ramen House,,,,,,null,3,Japanese,() ,"['1817 Centre Street N', 'Calgary, AB T2E 2S5', 'Canada']",1817 Centre St NW,Calgary,AB,T2E 2S5,,,,,NA,,
72169,Little City Chinese Food,BANERJEE,ALOK,MR,M,MANAGER,null,9,Chinese,(403) 230-3023,"['2017E Center Street NW', 'Calgary, AB T2E 2S9', 'Canada']",2017E Center Street NW,Calgary,AB,T2E 2S9,"LESS THAN $500,000",4-Jan,N,Indian,29441987,,
72170,Valendine,,,,,,null,3,Chinese,(403) 452-3291,"['2001 Centre St NW', 'Calgary, AB T2E 2S9', 'Canada']",2001 Centre St NW,Calgary,AB,T2E 2S9,,,,,NA,,
72171,Calan Beef Noodle,LIU,DAVID,MR,M,OWNER,$$,62,Chinese,(587) 350-0050,"['2219 Centre Street N', 'Calgary, AB T2E 2T4', 'Canada']",2219 Centre St NW,Calgary,AB,T2E 2T4,"LESS THAN $500,000",9-May,Y,Chinese,742955668,,
72172,Hot Monster,,,,,,null,1,Chinese,() ,"['2223 Centre St NW', 'Calgary, AB T2E 2T4', 'Canada']",2223 Centre St NW,Calgary,AB,T2E 2T4,,,,,NA,,
72173,Centre Street Japanese Hotpot,,,,,,$$,31,Chinese,(403) 455-3188,"['2243 2213 Centre Street', 'Calgary, AB T2E 2T4', 'Canada']",2243 2213 Centre Street,Calgary,AB,T2E 2T4,,,,,NA,,
72175,Spicy Hut,LEE,KONG,MR,M,OWNER,$$,45,Chinese,(403) 237-0830,"['203 4 Street NE', 'Calgary, AB T2E 3S1', 'Canada']",203 4 St NE,Calgary,AB,T2E 3S1,"$500,000-1 MILLION",19-Oct,N,Chinese,11428430,,
72176,Bamboo Gardens,YUEN,WING,MR,M,OWNER,$$,9,Chinese,(403) 277-1246,"['1603 18 St NE', 'Calgary, AB T2E 4W2', 'Canada']",1603 18 St NE,Calgary,AB,T2E 4W2,"LESS THAN $500,000",9-May,Y,Chinese,10631232,,
72177,Wonton King,CHAN,ANGELA,MS,F,OWNER,$,7,Chinese,(403) 291-3538,"['3449 12 St NE', 'Calgary, AB T2E 6S6', 'Canada']",3449 12 St NE,Calgary,AB,T2E 6S6,"$500,000-1 MILLION",19-Oct,N,Chinese,53510814,,
72178,Netsui Sushi & Japanese Grill,,,,,,null,10,Japanese,() ,"['2000 Airport Road NE', 'Calgary, AB T2E 6W5', 'Canada']",2000 Airport Rd NE,Calgary,AB,T2E 6W5,"LESS THAN $500,000",9-May,N,Unknown,440743900,,
72179,Edo Japan,,,,,,null,10,Japanese,(403) 219-2111,"['2000 Airport Road NE', 'Calgary, AB T2E 6W5', 'Canada']",2000 Airport Rd NE,Calgary,AB,T2E 6W5,"LESS THAN $500,000",9-May,N,Unknown,440743900,,
72180,Takoyami,,,,,,null,2,Japanese,(403) 717-9377,"['114B-2323 32 Avenue NE', 'Calgary, AB T2E 6Z3', 'Canada']",114B-2323 32 Ave NE,Calgary,AB,T2E 6Z3,,,,,NA,,
72181,Misai Japa Cafe,,,,,,$$,17,Japanese,(403) 250-1688,"['7-1915 32 Avenue NE', 'Calgary, AB T2E 7C8', 'Canada']",7-1915 32 Ave NE,Calgary,AB,T2E 7C8,,,,,NA,,
72182,Edo Japan,,,,,,null,2,Japanese,(825) 222-8534,"['425 Aviation Road NE', 'Suite 114', 'Calgary, AB T2E 5T5', 'Canada']",425 Aviation Rd NE Suite 114,Calgary,AB,T2E 7H8,,,,,NA,,
72183,Fresh Taste Corner,,,,,,null,7,Chinese,(403) 291-2090,"['3115 12 St NE', 'Ste 106', 'Calgary, AB T2E 7J2', 'Canada']",3115 12 St NE Ste 106,Calgary,AB,T2E 7J2,,,,,NA,,
72184,Kobe Teppanyaki Lounge,,,,,,null,3,Japanese,(403) 730-8826,"['901 64 Avenue NE', 'Sutie 4160', 'Calgary, AB T2E 9B7', 'Canada']",901 64 Ave NE Suite 4160,Calgary,AB,T2E 7P4,,,,,NA,,
72185,Buffet Yangtze,HUANG,MARK,MR,M,MANAGER,$$,54,Chinese,(403) 275-3337,"['4190 - 901 64 Avenue NE', 'Calgary, AB T2E 7P4', 'Canada']",4190-901 64 Ave NE,Calgary,AB,T2E 7P4,$1-2.5 MILLION,20-49,N,Chinese,25650763,,
72186,Sushi Bar Zipang,TANAKA,SHINYA,MR,M,OWNER,$$,90,Japanese,(403) 262-1888,"['1010 1 Avenue NE', 'Calgary, AB T2E 7W7', 'Canada']",1010 1 Avenue NE,Calgary,AB,T2E 7W7,"$500,000-1 MILLION",19-Oct,N,Japanese,44481968,,
72187,Fusion Sushi,WANG,EDMOND,MR,M,MANAGER,$$,84,Japanese,(587) 354-1757,"['511 McKnight Boulevard NE', 'Calgary, AB T2E 8P1', 'Canada']",511 McKnight Blvd NE,Calgary,AB,T2E 8P1,"$500,000-1 MILLION",19-Oct,N,Chinese,715433933,,
72188,YongXing BBQ House,,,,,,null,1,Chinese,(403) 717-3858,"['1623 Centre Street NW', 'Tops Supermarket', 'Calgary, AB T2E 8S7', 'Canada']",1623 Centre St NW Tops Supermarket,Calgary,AB,T2E 8S7,,,,,NA,,
72189,Central Grand Restaurant,AU,DANIEL,MR,M,OWNER,$$,46,Chinese,(403) 277-2000,"['1623 Centre Street NW', 'Shop 295', 'Central Landmark', 'Calgary, AB T2E 8S7', 'Canada']",295-1623 Centre St NW Shop Central Landmark,Calgary,AB,T2E 8S7,$1-2.5 MILLION,20-49,N,Korean,32581001,,
72190,Yummy Dim Sum,,,,,,$,1,Chinese,(403) 616-0908,"['295-1623 Centre Street NW', 'Calgary, AB T2E 8S7', 'Canada']",295-1623 Centre St NW,Calgary,AB,T2E 8S7,"LESS THAN $500,000",9-May,N,Unknown,50402262,,
72191,Cheng Ping Noodle House,KONG,JASON,MR,M,OWNER,null,1,Chinese,(403) 291-3681,"['2197 Pegasus Way NE', 'Calgary, AB T2E 8T2', 'Canada']",2197 Pegasus Way NE,Calgary,AB,T2E 8T2,"LESS THAN $500,000",9-May,Y,Chinese,48670798,,
72192,IKUSA Izakaya & Tokyo Market,,,,,,$$,12,Japanese,(587) 352-3288,"['903 General Ave NE', 'Calgary, AB T2E 9E1', 'Canada']",903 General Ave NE,Calgary,AB,T2E 9E1,,,,,NA,,
72193,Pink Pearl Chinese Restaurant & Lounge,,,,,,$$,12,Chinese,(403) 263-8887,"['4351 Macleod Trail SW', 'Calgary, AB T2G 0A3', 'Canada']",4351 MacLeod Trail SW,Calgary,AB,T2G 0A3,,,,,NA,,
72194,Clay Pot Rice,,,,,,null,3,Chinese,(403) 455-6802,"['4515 Macleod Trail SW', 'Calgary, AB T2G 0A5', 'Canada']",4515 MacLeod Trail SW,Calgary,AB,T2G 0A5,,,,,NA,,
72195,Jing Jing Noodle,,,,,,null,1,Chinese,(403) 452-3111,"['113 128 2nd Ave SE', 'Calgary, AB T2G 0B1', 'Canada']",113 128 2nd Ave SE,Calgary,AB,T2G 0B1,,,,,NA,,
72196,Calgary Court Restaurant,KEUANG,ANNA,MS,F,MANAGER,$$,78,Chinese,(403) 264-7890,"['119 2 Ave SE', 'Calgary, AB T2G 0B2', 'Canada']",119 2 Ave SE,Calgary,AB,T2G 0B2,$1-2.5 MILLION,20-49,N,Unknown,27851252,,
72197,Great Taste Chinese Restaurant,MA,SHERRY,MS,F,OWNER,$$,90,Chinese,(403) 265-9880,"['123 2 Avenue SE', 'Calgary, AB T2G 0B2', 'Canada']",123 2 Ave SE,Calgary,AB,T2G 0B2,"LESS THAN $500,000",9-May,Y,Chinese,49883713,,
72198,Ho Won Restaurant,CHUNG,KEN,MR,M,OWNER,$$,47,Chinese,(403) 266-2234,"['115 2 Avenue SE', 'Calgary, AB T2G 0B2', 'Canada']",115 2 Avenue SE,Calgary,AB,T2G 0B2,"$500,000-1 MILLION",19-Oct,N,Chinese,11015567,,
72199,Silver Dragon Restaurant,FUNG,PAUL,MR,M,GENERAL MGR,$$,125,Chinese,(403) 264-5326,"['106 3 Avenue SE', 'Calgary, AB T2G 0B6', 'Canada']",106 3 Ave SE,Calgary,AB,T2G 0B6,$2.5-5 MILLION,50-99,N,Chinese,11407483,,
72200,Chong Fat Food,,,,,,$,9,Chinese,(403) 261-5710,"['130 3 Avenue SE', 'Calgary, AB T2G 0B6', 'Canada']",130 3 Ave SE,Calgary,AB,T2G 0B6,"LESS THAN $500,000",9-May,N,Unknown,40231029,,
72201,Tang Dynasty Restaurant,FU,IAN,MR,M,OWNER,$$,27,Chinese,(403) 457-9777,"['112 3 Avenue SE', 'Calgary, AB T2G 0B6', 'Canada']",112 3 Avenue SE,Calgary,AB,T2G 0B6,"$500,000-1 MILLION",19-Oct,N,Chinese,437130350,,
72202,1 Pot,,,,,,$$$,42,Chinese,(403) 708-8088,"['123 3 Avenue SE', 'Calgary, AB T2G 0B7', 'Canada']",123 3 Ave SE,Calgary,AB,T2G 0B7,,,,,NA,,
72203,Dragon Dynasty Chinese Restaurant,,,,,,$$,38,Chinese,(587) 955-9543,"['200 -118 5 Avenue SE', 'Calgary, AB T2G 0E2', 'Canada']",200-118 5 Ave SE,Calgary,AB,T2G 0E2,,,,,NA,,
72204,Fusion Sushi,,,,,,$$,34,Japanese,(587) 956-9088,"['118A 5th Avenue SE', 'Calgary, AB T2G 0E2', 'Canada']",118A 5 Ave SE,Calgary,AB,T2G 0E2,,,,,NA,,
72205,Ari Sushi,,,,,,null,10,Japanese,(403) 262-2220,"['1201 9 Avenue SE', 'Calgary, AB T2G 0S9', 'Canada']",1201 9 Ave SE,Calgary,AB,T2G 0S9,,,,,NA,,
72206,Dragon Pearl Restaurant,KO,WILLIE,MR,M,OWNER,$$,34,Chinese,(403) 233-8810,"['1223A 9 Avenue SE', 'Calgary, AB T2G 0S9', 'Canada']",1223A 9 Ave SE,Calgary,AB,T2G 0S9,"$500,000-1 MILLION",19-Oct,N,Chinese,10859239,,
72207,Haru Sushi & Grill,,,,,,$$,15,Japanese,(403) 452-3209,"['227 11 Avenue SE', 'Calgary, AB T2G 0X9', 'Canada']",227 11 Ave SE,Calgary,AB,T2G 0X9,,,,,NA,,
72208,Zen 8 Grill,LEE,MONICA,MS,F,MANAGER,$$,20,Cajun Seafood,(403) 261-1888,"['421 12 Avenue SE', 'Calgary, AB T2G 1A5', 'Canada']",421 12 Ave SE,Calgary,AB,T2G 1A5,"LESS THAN $500,000",9-May,N,English,62380431,,
72209,Sense Asian,,,,,,null,2,Cajun Seafood,() ,"['500 Centre Street S', 'Calgary, AB T2G 0E3', 'Canada']",500 Centre St SE,Calgary,AB,T2G 1A6,,,,,NA,,
72210,Nupo,,,,,,null,17,Japanese,(587) 353-1388,"['631 Confluence Way SE', 'Calgary, AB T2G 1C3', 'Canada']",631 Confluence Way SE,Calgary,AB,T2G 1C3,,,,,NA,,
72211,U & Me Restaurant,DAVID,MA,MS,F,MANAGER,$$,89,Chinese,(403) 264-5988,"['233 Centre Street SW', 'Suite 201', 'Calgary, AB T2G 2B7', 'Canada']",233 Centre St SW Suite 201,Calgary,AB,T2G 2B7,"$500,000-1 MILLION",19-Oct,N,Jewish,36923696,,
72212,Dagu Rice Noodle,,,,,,null,12,Chinese,(587) 352-0088,"['310 Centre Street SE', 'Calgary, AB T2G 5J8', 'Canada']",310 Centre St SE,Calgary,AB,T2G 2B8,,,,,NA,,
72213,Deep Fried Master,,,,,,$$,5,Chinese,(403) 263-5651,"['303 Centre Street SW', 'Suite 107', 'Calgary, AB T2G 2B9', 'Canada']",303 Centre St SW Suite 107,Calgary,AB,T2G 2B9,,,,,NA,,
72214,Happy Veggie House,,,,,,$,17,Chinese,(587) 955-8633,"['303 Centre Street SW', 'Suite 109', 'Calgary, AB T2G 2B9', 'Canada']",303 Centre St SW Suite 109,Calgary,AB,T2G 2B9,,,,,NA,,
72215,Guilin Restaurant,,,,,,null,9,Chinese,(403) 767-9090,"['303 Centre Street SW', 'Suite 113', 'Calgary, AB T2G 2B9', 'Canada']",303 Centre St SW Suite 113,Calgary,AB,T2G 2B9,,,,,NA,,
72216,Han's Restaurant,GAO,PURONG,MR,M,OWNER,$$,22,Chinese,(403) 514-0456,"['303 Centre Street SW', 'Unit 116', 'Calgary, AB T2G 2B9', 'Canada']",303 Centre St SW Unit 116,Calgary,AB,T2G 2B9,"LESS THAN $500,000",4-Jan,Y,Chinese,44479848,,
72217,Delicious Country,LIN,BIN,MR,M,OWNER,$$,9,Chinese,(403) 290-1771,"['303 Centre Street SW', 'Calgary, AB T2G 2B9', 'Canada']",303 Centre Street SW,Calgary,AB,T2G 2B9,"LESS THAN $500,000",9-May,Y,Chinese,53482394,,
72218,Chuen May Food Products,YUN,HON,MR,M,OWNER,$,6,Chinese,(403) 232-8364,"['221 1 Street SE', 'Calgary, AB T2G 2G3', 'Canada']",221 1 Street SE,Calgary,AB,T2G 2G3,"LESS THAN $500,000",4-Jan,Y,Vietnamese,24285496,,
72219,Sushi Ichiban Japanese Restaurant,WOO,JASON,MR,M,OWNER,$$,81,Japanese,(403) 243-1000,"['4014 MacLeod Trail SE', 'Calgary, AB T2G 2R7', 'Canada']",4014 MacLeod Trail SE,Calgary,AB,T2G 2R7,"$500,000-1 MILLION",19-Oct,N,Korean,31058902,,
