Snowball Map,Restaurant Name,Address,City,Zipcode,State,Phone,List
30016,Xiaolongbao House,14725 Aurora Ave N,Shoreline,98133,WA,2064574483,Brizo
30018,China Garden Inn Restaurant,1007 Easton Rd,Willow Grove,19090,PA,2156594242,Brizo
30020,Chinese Wok,7017 Louetta Rd,Spring,77379,TX,2813765695,Brizo
30022,East Harbor,18855 SW Tualatin Valley Hwy,Beaverton,97003,OR,5033726970,Brizo
30024,Main Moon Chinese Restaurant,113 N Center Ave,Somerset,15501,PA,8144453674,Brizo
30026,Frisco Sushi 469,3288 Main St,Frisco,75033,TX,4693734051,Brizo
30028,Antai Asian Dining,5084 Sunset Blvd,Lexington,29072,SC,8033560062,Brizo
30030,Jeng Canton Lou,5428 Chester Ave,Philadelphia,19143,PA,2157268620,Brizo
30032,Sakura Ramen,Lee Trevino Dr,El Paso,79936,TX,9157044045,Brizo
30034,Boo-Yah Chinese,4018 Ross Ave,Dallas,75204,TX,7268009582,Brizo
30036,Main Moon,2800 Rosewood Dr,Columbia,29205,SC,8032518990,Brizo
30038,New Star Chinese Restaurant,835 Glenside Ave,Wyncote,19095,PA,2158858182,Brizo
30040,East Wok,17 Luray Shopping Ctr,Luray,22835,VA,5407434313,Brizo
30042,Mikado Japanese Restaurant,1574 Covington Ave,Piqua,45356,OH,9376062567,Brizo
30044,Mashumen,2208 Fontaine Ave,Charlottesville,22903,VA,4344009007,Brizo
30046,Yummy Palace,8973 US-30,Irwin,15642,PA,7248640658,Brizo
30048,Sun Sun Chinese Restaurant,5137 Fredericksburg Rd,San Antonio,78229,TX,2103407770,Brizo
30050,Szechuan Restaurant City View,4750 Bryant Irvin Rd,Fort Worth,76132,TX,8173466111,Brizo
30052,China King Restaurant,53 Cheltenham Ave,Cheltenham,19012,PA,2156354129,Brizo
30054,Oriental Wok,4006 Spencer Hwy,Pasadena,77504,TX,7139433008,Brizo
30056,China Island,2771 E Broad St,Mansfield,76063,TX,8175399007,Brizo
30058,Lin's Garden,339 Chestnut St,Emmaus,18049,PA,6109659300,Brizo
30060,Tokyo Japanese Steak house,731 E Main St,Jackson,45640,OH,7402866881,Brizo
30062,China One,323 E Greer St,Honea Path,29654,SC,8643699885,Brizo
30064,Golden Crown,1624 Mentor Ave,Painesville,44077,OH,4403524404,Brizo
30066,Japan Grill,3131 N Main St,Anderson,29621,SC,8642259300,Brizo
30068,Hop Sing Chinese Restaurant,20 Susie Wilson Rd,Essex Junction,5452,VT,8028781922,Brizo
30070,Krab Kingz,4043 E Trinity Mills Rd,Dallas,75287,TX,2144846199,Brizo
30072,Chen's Restaurant,828 N Washington St,Alexandria,22314,VA,7038378811,Brizo
30074,China B Super Buffet,3611 N Navarro St,Victoria,77901,TX,3615758881,Brizo
30076,Love Ramen,3608 5th Ave,Pittsburgh,15213,PA,NA,Brizo
30078,Oriental Garden Chinese,2719 Lebanon Pike,Nashville,37214,TN,6158721026,Brizo
30080,Dan's Kitchen,50 S 3rd Ave,Sturgeon Bay,54235,WI,9208181300,Brizo
30082,Tokyo,702 Grand Central Ave,Vienna,26105,WV,3049173612,Brizo
30084,Asian Chao,7850 Mentor Ave,Mentor,44060,OH,4402554370,Brizo
30086,Wasabi Fusion,114 New River Dr,Beckley,25801,WV,6812077455,Brizo
30088,Circle M Crawfish,14449 TX-155,Big Sandy,75755,TX,9036369199,Brizo
30090,Red Bamboo Bistro,1306 Union Ave NE,Renton,98059,WA,4252553612,Brizo
30092,Chens Buffet and Sushi,1341 W Paradise Dr,West Bend,53095,WI,2623380882,Brizo
30094,Amura Sushi Cafe,4801 Shore Dr,Virginia Beach,23455,VA,7577553977,Brizo
30096,Domo Sushi,4901 Point Fosdick Dr,Gig Harbor,98335,WA,2538510592,Brizo
30098,Maple St Food Hall,4711 Maple Ave,Dallas,75219,TX,4699179003,Brizo
30100,Dizihana,3308 Schlipf Rd,Katy,77493,TX,2813779118,Brizo
30102,Kobe's Japanesse,4800 Golf Rd,Eau Claire,54701,WI,7158389888,Brizo
30104,New Hong Kong Restaurant,918 W Wine Country Rd,Grandview,98930,WA,5098824447,Brizo
30106,Chopfuku,815 Taylorsville Expy,Salt Lake City,84123,UT,8018190072,Brizo
30108,Pho Season,1472 Olney Ave SE,Port Orchard,98366,WA,3606020688,Brizo
30110,Number One Szechuan,639 Lombard Rd,Red Lion,17356,PA,7172460800,Brizo
30112,ilpumhyang,6411 SE 82nd Ave,Portland,97266,OR,5037752598,Brizo
30114,Kaneyama Japanese Restaurant,9527 Westheimer Rd,Houston,77063,TX,7137845168,Brizo
30116,China Isle Restaurant,323 S 500 E,American Fork,84003,UT,8017569118,Brizo
30118,China East,3545 Buckner Blvd,Virginia Beach,23453,VA,7574712828,Brizo
30120,Hunan Springs,4939 Hamilton Blvd,Allentown,18106,PA,6103668338,Brizo
30122,Great Wall,2905 N 7th St,Harrisburg,17110,PA,7172331500,Brizo
30124,Shangri la,2727 Goliad Rd,San Antonio,78223,TX,2103377168,Brizo
30126,L& L Chinese Restaurant,3939 N Fry Rd,Katy,77449,TX,2814920430,Brizo
30128,Poke Stop,8605 N Beach St,Fort Worth,76244,TX,8177419611,Brizo
30130,China Wok,1505 Lynnhaven Pkwy,Virginia Beach,23453,VA,7573683388,Brizo
30132,China City Buffet,3650 S High St,Columbus,43207,OH,6144918877,Brizo
30134,New Grand Buffet,1220 N Bridge St,Chillicothe,45601,OH,7407726688,Brizo
30136,Big Garden Restaurant,2000 E Ontario St,Philadelphia,19134,PA,2154258878,Brizo
30138,TOKI Jr Japanese Restaurant,434 Georgia Ave,North Augusta,29841,SC,8034268086,Brizo
30140,Sushi Bomb,6302 Robinson Center Dr,Pittsburgh,15205,PA,4127871888,Brizo
30142,Yamato Cafe,1504 Decatur Pike,Athens,37303,TN,4232528035,Brizo
30144,Red Phoenix Hunan Restaurant,3091 College Park Dr,The Woodlands,77384,TX,9362733787,Brizo
30146,Chen's Garden,Salem Lakes Blvd,Virginia Beach,23456,VA,7574714200,Brizo
30148,Best of China,1602 Airport Blvd,West Columbia,29169,SC,8039265858,Brizo
30150,Cafe Hunan,6333 Forest Park Rd,Dallas,75235,TX,2147544747,Brizo
30152,Yu Xiang Yuan,4601 SE 29th St,Del City,73115,OK,4056737500,Brizo
30154,Sakura Sushi,2029 Lynnhaven Pkwy,Virginia Beach,23456,VA,7574163551,Brizo
30156,Sloppy Mo's,87 Old Creamery Rd,Morrisville,5661,VT,8028518041,Brizo
30158,Buddha Belly Chinese Restaurant,66 S Main St,Kaysville,84037,UT,8017196543,Brizo
30160,Ling's Chinese Restaurant,2265 Antelope Rd,White City,97503,OR,5418268995,Brizo
30162,Noodle House,13433 Tomball Pkwy,Houston,77086,TX,8323512633,Brizo
30164,Chi Chop,5196 Fairfield Shopping Ctr,Virginia Beach,23464,VA,7574743388,Brizo
30166,oh! Umai Teriyaki,18750 Willamette Dr,West Linn,97068,OR,5036359700,Brizo
30168,Sushi Hana,2109 W Parker Rd,Plano,75023,TX,2146003197,Brizo
30170,Fortune Cookie Chinese Restaurant LLC,4313 N Conway Ave,Palmhurst,78573,TX,9565853568,Brizo
30172,Jiang's Chinese Restaurant,1213 Carmia Way,Richmond,23235,VA,8043790600,Brizo
30174,Golden China,10834 Warwick Blvd,Newport News,23601,VA,7575959999,Brizo
30176,North China Cafe,7810 Lee Hwy,Falls Church,22042,VA,7035601486,Brizo
30178,Reel Seafood & Bar,2030 E T C Jester Blvd,Houston,77008,TX,2818887565,Brizo
30180,Express Wok,2204 Kelly Blvd,Carrollton,75006,TX,9724188281,Brizo
30182,Tasty Dish Chinese Street Food,1184 Main St,Hellertown,18055,PA,4848513460,Brizo
30184,Main Moon Chinese,471 N Dupree Ave,Brownsville,38012,TN,7313265089,Brizo
30186,China Cuisine,315 W Broadway St,Okemah,74859,OK,9186239323,Brizo
30188,Shen's Szechuan & Sushi,7580 Poe Ave,Dayton,45414,OH,9378983860,Brizo
30190,China Wok Restaurant,316 Bristol Pike,Croydon,19021,PA,2157850909,Brizo
30192,Hunan Cafe,8453 Tyco Rd,Vienna,22182,VA,7038541903,Brizo
30194,Bikkle Jamaican Restaurant,3023 Guadalupe St,Austin,78705,TX,5124006033,Brizo
30196,China Sea Chinese Restaurant,610 Lincoln Ave,Bellevue,15202,PA,4127613264,Brizo
30198,Oriental Super Buffet,445 Underwood St,Zanesville,43701,OH,7405889898,Brizo
30200,VooDoo Hut,511 Bradford Ave,Kemah,77565,TX,2815496164,Brizo
30202,Oishi Sushi,408 York Rd,Jenkintown,19046,PA,2158836446,Brizo
30204,Asian Cafe,234 Meeting St E,Dandridge,37725,TN,8653447181,Brizo
30206,The Rice Hat,1702 US-181 N,Portland,78374,TX,3619772075,Brizo
30208,Hunan Coventry,1800 Coventry Rd,Cleveland Heights,44118,OH,2163710777,Brizo
30210,Uncle Wing Chinese Restaurant,107 N 1st St,Garland,75040,TX,9722722775,Brizo
30212,Asoko Sushi,12055 Vance Jackson Rd,San Antonio,78230,TX,2104740012,Brizo
30214,Asian Garden,721 S Broad St,Lititz,17543,PA,7176273627,Brizo
30216,Peony Bistro-Asian Cuisine & Bar,1230 W Church St,Newark,43055,OH,7406412021,Brizo
30218,Four Season Express,901 Foxcroft Ave,Martinsburg,25401,WV,9179155218,Brizo
30220,Genki Sushi,921 W Commerce St,Dallas,75208,TX,4694873745,Brizo
30222,Chung's Express,242 1st St,Bremerton,98337,WA,3608131620,Brizo
30224,Fortune Cookie Restaurant,319 Broadway St S,Menomonie,54751,WI,7152353532,Brizo
30226,Crescent City Daiquiris & Creole Cafe,791 N Highway 77,Waxahachie,75165,TX,4695502013,Brizo
30228,Lucky Dragon,126 Dayton St,Yellow Springs,45387,OH,9377672988,Brizo
30230,Chang jiang 8,4929 Commercial Ave,Madison,53704,WI,6082409988,Brizo
30232,Asahi,1598 Sumneytown Pike,Lansdale,19446,PA,2153688888,Brizo
30234,Ye Star Chinese Buffet,1512 Texas Ave S,College Station,77840,TX,9797037698,Brizo
30236,Sunflower Garden,10410 Greenwood Ave N,Seattle,98133,WA,2062978090,Brizo
30238,Kungfu Kitchen,3221 Duke St,Alexandria,22314,VA,7035660007,Brizo
30240,Hibachi Express,918 W Market St,Johnson City,37604,TN,4232328888,Brizo
30242,Tokyo Bistro,525 Newmark Ave,Coos Bay,97420,OR,5418080808,Brizo
30244,Fu Leen Palace,15525 Warwick Blvd,Newport News,23608,VA,7578880260,Brizo
30246,Pak Yue Chinese Restaurant,2347 Haverford Rd,Ardmore,19003,PA,6106423514,Brizo
30248,Hibachi KO Houston City Centre,799 Town and Country Blvd,Houston,77024,TX,7132581560,Brizo
30250,Meiji,5805 SE 15th St,Midwest City,73110,OK,4059313668,Brizo
30252,Ding How Buffet & Grill,2732 Pacific Blvd SE,Albany,97321,OR,5419812276,Brizo
30254,Bun's House,4645 Highway Six,Sugar Land,77478,TX,8328384055,Brizo
30256,Goji Cafe,2330 Royal Ln,Dallas,75229,TX,9722431888,Brizo
30258,Marumen,3250 Old Pickett Rd,Fairfax,22031,VA,7033526278,Brizo
30260,China Star,9917 Wellington Rd,Manassas,20110,VA,7032575568,Brizo
30262,Asian Taste,321 Ludlow Ave,Cincinnati,45220,OH,5132215333,Brizo
30264,Hunan Express,5997 Williams Dr,Corpus Christi,78412,TX,3619922222,Brizo
30266,Sayuri Sushi&sake Bar,11627 Island Ave,La Grande,97850,OR,5418056874,Brizo
30268,Sayaka Steak Sushi,3801 W President George Bush Hwy,Plano,75075,TX,4694673944,Brizo
30270,Rock N' Claws,44110 Ashburn Shopping Plz,Ashburn,20147,VA,5715103152,Brizo
30272,Wei Sheng Chinese Food,2901 N Stillman St,Philadelphia,19132,PA,2152238816,Brizo
30274,Beijing Restaurant,7101 Marshall Rd,Upper Darby,19082,PA,6103525866,Brizo
30276,Flying Sumo,838 Park Ave,Park City,84060,UT,4356495522,Brizo
30278,House Teriyaki Wok,35002 Pacific Hwy S,Federal Way,98003,WA,2538383588,Brizo
30280,China Moon,8443 Frankford Ave,Philadelphia,19136,PA,2153315986,Brizo
30282,Sekisui Pacific Rim,4724 Poplar Ave,Memphis,38117,TN,9017677770,Brizo
30284,Skipper's Pier: Coastal Cajun Kitchen,103 N Main St,Gladewater,75647,TX,9033742235,Brizo
30286,Asian Buffet,5665 W Broad St,Galloway,43119,OH,6148706988,Brizo
30288,Big Teriyaki,3625 148th St SW,Lynnwood,98087,WA,4256780072,Brizo
30290,fusion wok sushi,3645 Stone Creek Blvd,Cincinnati,45251,OH,5138981633,Brizo
30292,Dragon & Phoenix Express,515 Fayette St,Conshohocken,19428,PA,6108252360,Brizo
30294,Zua Sian Sushi To Go,8011 S Sheridan Rd,Tulsa,74133,OK,9183509828,Brizo
30296,Fuji Sushi & Grill,22442 State Highway 249,Houston,77070,TX,8328436311,Brizo
30298,Panda Garden Buffet,166 S Willow Ave,Cookeville,38501,TN,9315285988,Brizo
30300,Tsunami Mount Pleasant,1909 US-17,Mt Pleasant,29464,SC,8082381749,Brizo
30302,Edo Japan,11460 Fuqua St,Houston,77089,TX,8322884650,Brizo
30304,Go! Go! Curry!,8240 Preston Rd,Plano,75024,TX,9722945350,Brizo
30306,China Sun,2401 Seaboard Rd,Virginia Beach,23456,VA,7574300296,Brizo
30308,Hibachi Express,2313 N Beltline Blvd,Columbia,29204,SC,8037827988,Brizo
30310,Beijing Express Restaurant,13730 Embassy Row,San Antonio,78216,TX,2104969858,Brizo
30312,China 88,55 Sugar Run Rd,Waynesburg,15370,PA,7246270387,Brizo
30314,Captain Crab & Ramen,420 S 72nd Ave,Yakima,98908,WA,5095711346,Brizo
30316,China Wok,10721 Chapman Hwy,Seymour,37865,TN,8655778998,Brizo
30318,Hot Wok,2390 Chestnut St NE,Orangeburg,29115,SC,8035365433,Brizo
30320,Dragon Bar,9889 Bellaire Blvd,Houston,77036,TX,8329309999,Brizo
30322,Kim's Oriental Foods,Walnut St,Philadelphia,19104,PA,7172383405,Brizo
30324,Peking House,6003 Hoover Rd,Grove City,43123,OH,6148019830,Brizo
30326,China One,2420 Lebanon Pike,Nashville,37214,TN,6158847878,Brizo
30328,Artisan Ramen,530 E Mason St,Milwaukee,53202,WI,4148888800,Brizo
30330,Pot 17 Hot Pot,9292 Warren Pkwy,Frisco,75035,TX,4692008446,Brizo
30332,Lucky Asian Food,3940 Lancaster Ave,Philadelphia,19104,PA,2152222447,Brizo
30334,Yen's Cafe,43490 Yukon Dr,Ashburn,20147,VA,7037238811,Brizo
30336,King Palace Super Chinese Buffet,18315 Tomball Pkwy,Houston,77070,TX,2818907844,Brizo
30338,Bill & Ruth's Sandwich and Sushi,3205 S Yale Ave,Tulsa,74135,OK,9187478333,Brizo
30340,China Wok,67 N Bennington Rd,Bennington,5201,VT,8024472280,Brizo
30342,China Panda,1303 E 4th Ave,Milbank,57252,SD,6054384800,Brizo
30344,Kim Son,2001 Jefferson St,Houston,77003,TX,7132222461,Brizo
30346,Sushic,6300 Ocean Dr,Corpus Christi,78412,TX,3618252760,Brizo
30348,Spicy Talk Bistro,12305 120th Ave NE,Kirkland,98034,WA,4258218898,Brizo
30350,Old Peking Restaurant,2952 Chain Bridge Rd,Oakton,22124,VA,7032559444,Brizo
30352,Quik Wok Express,8820 Alameda Ave,El Paso,79907,TX,9157594212,Brizo
30354,Calliope's Bellfort,7590 W Bellfort Ave,Houston,77071,TX,7137732099,Brizo
30356,Kelly's Cajun Grill,2700 Potomac Mills Cir,Woodbridge,22192,VA,3478229164,Brizo
30358,Wing Wah Gourmet,465 12th St,Ogden,84404,UT,8013948788,Brizo
30360,Hot Pot City,1975 SW 1st Ave,Portland,97201,OR,5032246696,Brizo
30362,Ichiban Sushi,1969 State Rd,Cuyahoga Falls,44223,OH,3302080398,Brizo
30364,Moy's Dynasty Restaurant,1914 Adams Ave,La Grande,97850,OR,5419638881,Brizo
30366,No 1 Chinese Restaurant,1300 N Charlotte St,Pottstown,19464,PA,6103236765,Brizo
30368,Ninja Ramen&Bento,13514 NW Cornell Rd,Portland,97229,OR,5033524428,Brizo
30370,Quik Wok,1320 Lomaland Dr,El Paso,79935,TX,9155950717,Brizo
30372,Golden City Chinese Restaurant,2214 Kecoughtan Rd,Hampton,23661,VA,7573805775,Brizo
30374,Panda Inn Chinese Restaurant,806 Harrison Ave,Centralia,98531,WA,3608072088,Brizo
30376,Rice's Fried Chicken & Seafood,1612 Broadway St,Houston,77012,TX,7139214657,Brizo
30378,Golden Dragon Restaurant,4163 N Darien St,Philadelphia,19140,PA,2152272267,Brizo
30380,Sapporo,5638 Hausman Rd W,San Antonio,78249,TX,2103144423,Brizo
30382,Shan China Bistro and Bar,1700 RR-620,Austin,78734,TX,5122849909,Brizo
30384,Koyo,416 W Clinch Ave,Knoxville,37902,TN,8652537400,Brizo
30386,Lin's Gourmet,18045 Jefferson Davis Hwy,Ruther Glen,22546,VA,8044489899,Brizo
30388,Golden Palace,1185 George Washington Way,Richland,99352,WA,5099433388,Brizo
30390,Iron Chef House,2985 District Ave,Fairfax,22031,VA,7032805555,Brizo
30392,The Prologue Deli,10333 Harwin Dr,Houston,77036,TX,2818466540,Brizo
30394,Yummy Yummy,930 NW Kings Blvd,Corvallis,97330,OR,5413603130,Brizo
30396,Sushi Flora,606 Dennis St,Houston,77006,TX,8329311184,Brizo
30398,Tan's Happy Kitchen,9603 SE 82nd Ave,Happy Valley,97086,OR,5038889828,Brizo
30400,Red Flower Chinese Restaurant,176 Kents Ridge Rd,Richlands,24641,VA,2765969921,Brizo
30402,Samuraisushi,3905 SE 82nd Ave,Portland,97266,OR,5037506360,Brizo
30404,Taste Of Xi'an,14515 NE 20th St,Bellevue,98007,WA,4255858585,Brizo
30406,Variety Buffet,234 Hogan Blvd,Mill Hall,17751,PA,5708936881,Brizo
30408,Hachisu Japanese Grill,608 E Main St,Walhalla,29691,SC,8646387080,Brizo
30410,Otani Hibachi Sushi,415 Adams Dr,Weatherford,76086,TX,8175996082,Brizo
30412,Mandarin House,120 SW Ankeny St,Portland,97204,OR,5032281820,Brizo
30414,Silk Road Cafe,12 W Main St,Vermillion,57069,SD,6056581923,Brizo
30416,Toro Sushi,2210 W Main St,Battle Ground,98604,WA,3606874500,Brizo
30418,Tokyo,133 E Dayton Yellow Springs Rd,Fairborn,45324,OH,9378797880,Brizo
30420,Kiwami Sushi Bar & Sake House,104 Kirkland Ave,Kirkland,98033,WA,4257398899,Brizo
30422,Comal Crawfish Company,100 FM 306,New Braunfels,78130,TX,8306435939,Brizo
30424,Jin's Garden,263 Garrisonville Rd,Stafford,22554,VA,5402888838,Brizo
30426,Wong's Cafe,421 Main St,Klamath Falls,97601,OR,5418846578,Brizo
30428,Hibachi Xpress,810 W Market St,Akron,44303,OH,3307520600,Brizo
30430,Chinese Garden Restaurant & Lounge,3218 NE 2nd Ave,Camas,98607,WA,3608358688,Brizo
30432,Ruyee,276 Mill St,Danville,17821,PA,5702758388,Brizo
30434,Hong Kong Garden,8002 Ogontz Ave,Philadelphia,19150,PA,2152761598,Brizo
30436,Grand China Restaurant,1401 E Downing St,Tahlequah,74464,OK,9184562505,Brizo
30438,R House,9889 Bellaire Blvd,Houston,77036,TX,7132700888,Brizo
30440,Teriyaki Grill,11601 108th St,Pleasant Prairie,53158,WI,2624558584,Brizo
30442,Goldstar Chinese Restaurant,31 N Main St,Union City,16438,PA,8144382688,Brizo
30444,Hana,6210 Highway Six,Missouri City,77459,TX,8325396164,Brizo
30446,China Inn,3504 Colley Ave,Norfolk,23508,VA,7572260082,Brizo
30448,Double Dragon II,4418 Montgomery Rd,Cincinnati,45212,OH,5137318888,Brizo
30450,Mama Qin,1525 W Morton St,Denison,75020,TX,9034169025,Brizo
30452,Authentic Chinese Cuisine Restaurant,9650 N Kings Hwy,Myrtle Beach,29572,SC,8436992999,Brizo
30454,Sushi Express,610 University Ave,Madison,53715,WI,6084679688,Brizo
30456,Poke Bop,4140 Abrams Rd,Dallas,75214,TX,2148217653,Brizo
30458,News Star,170 S Main St,Pascoag,2859,RI,4015677077,Brizo
30460,Yi Chung Wei Restaurant,4833 Woodland Ave,Philadelphia,19143,PA,2157274424,Brizo
30462,Ocean Samurai,1560 S Main St,Blacksburg,24060,VA,5409510068,Brizo
30464,New Dragon Star,Loudon St,Philadelphia,19141,PA,2154557779,Brizo
30466,Robata Ramen and Yakitori Bar,2116 Madison Ave,Memphis,38104,TN,9014108290,Brizo
30468,One Noodle Bar - Millcreek,867 E 4500 S,Millcreek,84107,UT,3854253979,Brizo
30470,Wok D'lite,1033 Edgebrook Dr,Houston,77034,TX,7139430218,Brizo
30472,China Pan,5353 Mt View Rd,Antioch,37013,TN,6157173338,Brizo
30474,China Light,32 N Main St,Port Allegany,16743,PA,8146427663,Brizo
30476,Tokyo & Mandarin,7212 Maynardville Pike,Knoxville,37918,TN,8659228888,Brizo
30478,Chau's Cafe,Ashbrook Commons Plz,Ashburn,20147,VA,7037247711,Brizo
30480,Wei Tasty Asian,721 S 4th St,Waco,76706,TX,2547530008,Brizo
30482,Crazy Crab,650 Branch Ave,Providence,2904,RI,4016324200,Brizo
30484,Irashai Sushi,2352 California Ave SW,Seattle,98116,WA,2065822033,Brizo
30486,Yamato Sushi Steak House,900 W Main St,Gun Barrel City,75156,TX,9038027198,Brizo
30488,China House Restaurant,4221 75th St,Kenosha,53142,WI,2626940555,Brizo
30490,Fatty Fish Sushi,4809 132nd St SE,Everett,98208,WA,4253322962,Brizo
30492,Jin's Chinese Resturant,180 NW 1st St,Dundee,97115,OR,5035546898,Brizo
30494,Seattle Dumpling Co.,1916 Pike Pl,Seattle,98101,WA,2065961395,Brizo
30496,Soban,272 Thayer St,Providence,2906,RI,4017511234,Brizo
30498,Taiwan Bistro,11136 SW Capitol Hwy,Portland,97219,OR,9712291927,Brizo
30500,Yummy,2561 Broad St,Sumter,29150,SC,8034693800,Brizo
30502,Hong Kong Chinese Restaurant,8 Elmhurst St,Newport News,23603,VA,7578888888,Brizo
30504,Little Panda Chinese Restaurant,1812 Santa Fe Dr,Weatherford,76086,TX,8175948844,Brizo
30506,Gold Fish Asian Bistro,5514 W 13400 S,Herriman,84096,UT,8012603500,Brizo
30508,Juicy Seafood,4320 St Michael Dr,Texarkana,75503,TX,9033066615,Brizo
30510,Rainbow Garden Chinese Restaurant,1085 Old Clemson Hwy,Seneca,29672,SC,8646546868,Brizo
30512,Lucky Panda Restaurant,2311 James St,Bellingham,98225,WA,3607382888,Brizo
30514,Chinese Wok,501 W Main St,La Porte,77571,TX,2818421171,Brizo
30516,Golden Lake,2319 Fairmount Ave,Philadelphia,19130,PA,2154546669,Brizo
30518,Chopstix,361 Commonwealth Blvd W,Martinsville,24112,VA,2766328898,Brizo
30520,I Scream Candy,1316 Celebrity Cir,Myrtle Beach,29577,SC,8438390143,Brizo
30522,Cube Ramen and Asian Cuisine,2521 Marvin Rd NE,Lacey,98516,WA,3606288368,Brizo
30524,Teriyaki Express,13201 Superior Ave,East Cleveland,44112,OH,2166005129,Brizo
30526,Otsuka Ramen & Bar,8034 Spencer Hwy,Pasadena,77505,TX,2819307665,Brizo
30528,Asian Taste Indo,1201 W Linden St,Allentown,18102,PA,6102226039,Brizo
30530,Hibachi Teppanyaki & Sushi,13099 South Fwy,Fort Worth,76028,TX,8174268388,Brizo
30532,China Cafe Restaurant,1002 W Main St,Gun Barrel City,75156,TX,9038872243,Brizo
30534,Yokai Ramen,2923 Thousand Oaks Dr,San Antonio,78247,TX,2106728259,Brizo
30536,Fuji Japanese Cuisine In Atoka,11680 US-51,Atoka,38004,TN,9018378800,Brizo
30538,Ming Garden,11419 19th Ave SE,Everett,98208,WA,4252255678,Brizo
30540,Dancing Dragon Restaurant,1940 NE Cornell Rd,Hillsboro,97124,OR,5036404510,Brizo
30542,Buffet Star,2300 W Mercury Blvd,Hampton,23666,VA,7578278888,Brizo
30544,Four Seasons Chinese and American Restaurant,1468 N 60th St,Philadelphia,19151,PA,2158831577,Brizo
30546,Yoshi Teriyaki & Fusion,11632 WA-99,Everett,98204,WA,4253550828,Brizo
30548,Hu's Cooking,2502 W Holcombe Blvd,Houston,77030,TX,7136600020,Brizo
30550,Po'Shines Cafe De La Soul,8135 N Denver Ave,Portland,97217,OR,5039789000,Brizo
30552,Jinbeh,2440 S Stemmons Fwy,Lewisville,75067,TX,2144882224,Brizo
30554,Yum Thai Restaurant II,21038 US Highway 281 N,San Antonio,78258,TX,2104908868,Brizo
30556,Royal Express,880 S Main St,Logan,84321,UT,4357556542,Brizo
30558,Hibachi Grill & Supreme Buffet,3877 Holland Rd,Virginia Beach,23452,VA,7574312500,Brizo
30560,Oishi,2808 S Eagle Rd,Newtown,18940,PA,2158605511,Brizo
30562,Bamboo Garden,2286 Lebanon Pike,Nashville,37214,TN,6158748344,Brizo
30564,Lee Cafe,1046 Regent Pkwy,Fort Mill,29715,SC,8035488191,Brizo
30566,Panda Garden,526 S Union Ave,Alliance,44601,OH,3308218499,Brizo
30568,Hunan Cafe,5641 Stone Rd,Centreville,20120,VA,7038153185,Brizo
30570,Desi District,12990 Eldorado Pkwy,Frisco,75035,TX,9727773374,Brizo
30572,Vic & Al's,2406 Manor Rd,Austin,78722,TX,5123875875,Brizo
30574,The Hurricane Hut,245 El Dorado Blvd,Webster,77598,TX,8325172190,Brizo
30576,Tasty Tails,4950 Belt Line Rd,Dallas,75254,TX,4697303142,Brizo
30578,Kings Sushi,1119 Wappoo Rd,Charleston,29407,SC,8437375211,Brizo
30580,Teriyaki Town,5605 112th St E,Puyallup,98373,WA,2534452443,Brizo
30582,China Buffet,31 Pine Grove Square Dr,Grove City,16127,PA,7244586330,Brizo
30584,Sunny Restaurant,2301 N Lambert St,Philadelphia,19132,PA,2152281690,Brizo
30586,Zen Ramen & Sushi Burrito,3238 Capitol Blvd SE,Tumwater,98501,WA,3603500005,Brizo
30588,Sura,6946 S Lewis Ave,Tulsa,74136,OK,9184881887,Brizo
30590,Garden Restaurant,3555 W Walnut St,Garland,75042,TX,9724878289,Brizo
30592,Akira sushi( 16150 SE 82nd DR,16150 SE 82nd Dr,Clackamas,97015,OR,5039080396,Brizo
30594,Fuji Yama Japanese Steak & Sushi House,10 Stonebridge Blvd,Jackson,38305,TN,7316648889,Brizo
30596,Chef Chen's,1041 Madison St,Shelbyville,37160,TN,9316859102,Brizo
30598,China Town Chinese Restaurant,82 3rd St,Estill,29918,SC,8036253030,Brizo
30600,China House,5860 Westerville Rd,Westerville,43081,OH,6148992882,Brizo
30602,Billy Jo's Denim Country,452 S Center St,Sublimity,97385,OR,5037697808,Brizo
30604,New China Express,310 W St Paul Ave,Waukesha,53188,WI,2625212855,Brizo
30606,Kanpai,1035 Johnnie Dodds Blvd,Mt Pleasant,29464,SC,8433888001,Brizo
30608,Golden Gate Restaurant,5031 Rising Sun Ave,Philadelphia,19120,PA,2154577825,Brizo
30610,Yoshi Hibachi Grille,13592 Euclid Ave,East Cleveland,44112,OH,2165354476,Brizo
30612,The Rice Box,5504 Morningside Dr,Houston,77005,TX,7135051287,Brizo
30614,Chen's China Inn,302 S Timberland Dr,Lufkin,75901,TX,9366321635,Brizo
30616,Chef Ho's,243 Atwells Ave,Providence,2903,RI,4018310777,Brizo
30618,Classic Chinese Cuisine,1025 Washington Pike,Bridgeville,15017,PA,4122574722,Brizo
30620,Fukumoto,514 Medina St,Austin,78702,TX,5127706880,Brizo
30622,Yoshi Sushi,1601 Willow Lawn Dr,Richmond,23230,VA,8049972968,Brizo
30624,Ten Second Rice Noodles,4224,Virginia Beach,23452,VA,7579378785,Brizo
30626,Golden Star Restaurant,990 E Washington St,Sequim,98382,WA,3606838860,Brizo
30628,Golden China,7811 Richmond Hwy,Appomattox,24522,VA,4343528596,Brizo
