,,,,,,,,,,,,,,TOTAL Y,TOTAL N,
EXNAME,ENNAME,ADDRESS1,STATE,FORWARDEDPHONE,CONTACTPHONE2,BUSINESS_PHONE__C,STATUS,Found in List (Y/N),Need Update,State,Updated Address,Business Phone,Mobile Phone,166,3075,3241
R81632,^CHINA WING BASKET^,3507 N Main St,SC,8037860789,,,open,N,,,, ,,,,
R81667,*^SUSHI Q^*,1610 Crosby Ave,NY,7188221627,9176919990,,closed,N,,,, ,,,,
R81668,KIN'S WOK,222 W 21st St,VA,7576232933,,,open,N,,,, ,,,,
R81662,*LIN'S ASIAN CUISINE*,130 Scenic Gulf Dr,FL,8504245888,9173303507,,open,N,,,, ,,,,
R81658,^CHINA INN^,2788 Post Rd,RI,4017388885,4012179220,,open,N,,,, ,,,,
R81665,*GREAT WALL*,219 Atlantic St,CT,2033277188,9178332178,,open,N,,,, ,,,,
R81666,^MULAN JAPANESE^,762 Oak Forest Lane,SC,8438395085,,,open,Y,,,762 Oak Forest Ln,(843) 602-8066,,,,
R81663,^GOLDEN PLACE^,29 Erie Rd,OH,3306301828,,,open,N,,,, ,,,,
R81661,MAN HING,24-08 Fair Lawn Ave,NJ,2013981883,2012869229,,reject,N,,,, ,,,,
R81656,*GOLDEN CHINA*,3150 Hwy 21,SC,8038025388,8284614210,,open,N,,,, ,,,,
R81659,^FUJI WILSON^,2358 Forest Hills Rd W.,NC,2522469888,6466713931,,open,N,,,, ,,,,
R81655,128 CHINESE RESTAURANT,1028 Buenaventura Blvd,FL,4073483838,4073486322,,open,N,,,, ,,,,
R81651,*GREAT WALL*,85-89 Murray St,NY,8453349197,,,open,N,,,, ,,,,
R81639,CHINA FUN,250 Tilghman Rd,MD,4105482033,,,open,N,,,, ,,,,
R81653,CHINA CHEF,2528 Perrysburg Holland Rd,OH,4198678011,,,closed,N,,,, ,,,,
R81638,ORIENTAL,3774 Broadway,NY,2122816888,,,open,N,,,, ,,,,
R81652,*MING HOME*,15720 Broadway Ave,OH,2166627850,,,open,N,,,, ,,,,
R81637,KAM FUNG,5221 Avenue N,NY,7182530212,7186908168,,closed,N,,,, ,,,,
R81635,PEKING COURT,5421 Reisterstown Rd,MD,4107648055,,,open,N,,,, ,,,,
R81633,CHINA KING,204A Steamboat Bend Shopping Center,MO,5732218288,5736298080,,open,N,,,, ,,,,
R81622,SPRING GARDEN,4710 Avenue N,NY,7189510881,,,open,N,,,, ,,,,
R81636,CHEN'S GARDEN,2047 State Rd,OH,3309457188,,,open,N,,,, ,,,,
R81621,LONG WALL KITCHEN,1708 Sunrise Highway,NY,6318420853,,,open,N,,,, ,,,,
R81631,CHINA CHEF,118 Saraland Loop,AL,2516791828,6467336786,,open,N,,,, ,,,,
R81629,*CHINA HOUSE*,425 Water St,OH,4402853814,6035147973,,open,N,,,, ,,,,
R81628,*MAIN MOON*,5444 Dogwood Dr,FL,8506266668,3477054101,,open,N,,,, ,,,,
R81623,GREAT CHINA,175 S Market St,PA,5707353888,,,open,N,,,, ,,,,
R81627,NEW GREAT WALL,807 Governor Square,DE,3028365640,6465155056,,open,N,,,, ,,,,
R81626,SPICY HOUSE,401 3rd Ave,CO,3037722740,,,open,N,,,, ,,,,
R81625,CHANG XING,30 Windward Dr,VA,5409469188,9179161118,,open,N,,,, ,,,,
R81602,^LOONG XIN^,670 E 233rd St,NY,7187087726,,,closed,N,,,, ,,,,
R81617,CHINA TASTE,3967 Van Dyke Rd,FL,8139602828,,,open,N,,,, ,,,,
R81618,CHINA KITCHEN,4303 NW 7th St,FL,3054486561,,(305) 448-6561,open,N,,,, ,,,,
R81619,CHENG'S KITCHEN,170 Eastern Ave,MA,4137343040,,,closed,N,,,, ,,,,
R81616,*DAI KIM EXPRESS*,7935 Baltimore Annapolis Blvd,MD,4108630350,9176221300,,open,N,,,, ,,,,
R81609,*SAMURAI'S STEAK HOUSE*,702 Highway 72 West,AL,2562301122,6465151361,,reject,N,,,, ,,,,
R81611,TOMATO GARDEN,239 Morris Ave,NJ,9734673009,,,open,N,,,, ,,,,
R81615,CHINA WON,8109 Fayetteville Rd,NC,9196629799,6466442314,,open,N,,,, ,,,,
R81612,KIM WEI KITCHEN,132 Tuckahoe Rd,NY,9149696202,,,open,N,,,, ,,,,
R81599,SHONG FA JIANG,670 Foxon Rd,CT,2034682066,,,open,N,,,, ,,,,
R81598,NO.1 KITCHEN,4341 US-60 #99,WV,3047365668,9172500926,,open,N,,,, ,,,,
R81606,HONG KONG,2274 Hwy 501,SC,8433472898,,,open,N,,,, ,,,,
R81607,*KING WOK*,5105 York Rd,MD,4104353900,6467324882,,open,N,,,, ,,,,
R81601,*XIN BAO*,137-42 Guy R. Brewer Blvd,NY,7189778989,,,open,N,,,, ,,,,
R81603,MANDARIN,35956 Detroit Rd,OH,4409379959,,,reject,N,,,, ,,,,
R81597,^ASIAN EXPRESS^,1935 Broad River Rd,SC,8033918888,6462338420,,open,N,,,, ,,,,
R81608,DRAGON ONE,1843 1st Ave,NY,7162174528,,,closed,N,,,, ,,,,
R81605,NEW YORK CHINESE RESTAURANT,3545 S. Fort Apache Rd,NV,7022551888,9173880796,,open,N,,,, ,,,,
R81596,^CHOPSTICKS^,2400 Elida Rd,OH,5677126590,,,open,N,,,, ,,,,
R81587,*NEW CHOI HEE*,426 Bay St,NY,7184478282,,,open,N,,,, ,,,,
R81591,HONG KONG,4332 Westgate Drive,VA,8047326666,,,open,N,,,, ,,,,
R81592,*DRAGON II*,4806 Drexelbrook Dr,PA,6106268822,2674715025,,open,N,,,, ,,,,
R81593,NEW WOK,481 Brook Ave,NY,7182925132,6463396922,,open,N,,,, ,,,,
R81589,CHINA SUN,235 Hanbury Rd E,VA,7574826980,,,open,N,,,, ,,,,
R81588,CHINA TOWN,221 Church St,SC,8438755919,,,open,N,,,, ,,,,
R81585,*^FIRST WOK^*,7897 Normandy Blvd,FL,9043783339,,,open,N,,,, ,,,,
R81582,*MAGIC WOK*,2327 SW 336th St,WA,2538382329,,,closed,N,,,, ,,,,
R81583,*A WOK*,83 Maddex Square Dr,WV,3048761088,,,open,N,,,, ,,,,
R81586,*HUNAN WOK*,2010 W County Line Rd,NJ,7323672588,8484487716,,open,N,,,, ,,,,
R81579,TAI FENG PANDA HOUSE,346 Hempstead Turnpike,NY,5165388035,6464966716,,open,N,,,, ,,,,
R81581,*CHINA 1*,205 S. Church St,GA,2297943000,,,open,N,,,, ,,,,
R81578,*MING MOON*,12758 Royalton Rd,OH,4408772238,,,open,N,,,, ,,,,
R81573,CHINATOWN KITCHEN,18 North Main St,WI,9209239688,7067141688,,open,N,,,, ,,,,
R81577,WOK N GO,1722 6th St,SD,6056928865,,,reject,N,,,, ,,,,
R81576,PANDA HOUSE,5230 Overseas Highway,FL,3057433417,3053943365,,suspended,N,,,, ,,,,
R81568,MING WAH,1315 41st ST,IL,3097361888,,,open,N,,,, ,,,,
R81575,KING GARDEN,729 Philadelphia Pike,DE,3027622800,,,open,N,,,, ,,,,
R81572,CHINA TOWN,2054 N. Richmond Rd,IL,8153852882,9179298821,,reject,N,,,, ,,,,
R81571,^TASTE OF CAJUN SEAFOOD^,13631 Grove Dr,MN,7632055790,,,closed,N,,,, ,,,,
R81566,*KING CHEF*,1009 North Spence Ave,NC,9197513681,,,open,N,,,, ,,,,
R81569,CHINA KITCHEN,505 Town Center Blvd,MS,6013723100,9174789354,,open,N,,,, ,,,,
R81567,*HOUSE OF CHANG*,64 Watkins Park Dr,MD,3013907111,,,open,N,,,, ,,,,
R81565,ASIAN DRAGON,5957 Yadkin Road,NC,9108234888,,,reject,N,,,, ,,,,
R81563,DAILY,4210 Park Ave,NJ,2018652273,,,reject,N,,,, ,,,,
R81559,CHINA WOK,903 A South Gallatin Pike,TN,6158680367,6159618363,,open,N,,,, ,,,,
R81562,WELCOME,163 West Broadway,NJ,8569351137,,,open,N,,,, ,,,,
R81558,*DRAGON CHINA*,1341 Parkwood Rd,NC,8282550777,,,open,N,,,, ,,,,
R81561,SHANGHAI EXPRESS,84 Canal St,NY,6075627070,,,open,N,,,, ,,,,
R81557,LING LING,2062 Lycoming Creek Rd,PA,5703236512,5709169132,,open,N,,,, ,,,,
R81537,^HOUSE OF CHAN^,14515 15 Mile Rd,MI,5869835551,,,open,N,,,, ,,,,
R81552,NEW YORK CHINESE RESTAURANT,9430 W Lake Mead Blvd,NV,7028708888,6462381214,,open,N,,,, ,,,,
R81556,DRAGON PALACE,306 Cavalier Square,VA,8045418988,,,open,N,,,, ,,,,
R81555,KING'S CHEF,1 Westward Drive,FL,3058828159,,,open,N,,,, ,,,,
R81551,*EMPIRE*,1700 N Monroe St,FL,8502225550,8502289708,,open,N,,,, ,,,,
R81536,*CHINA GARDEN*,846 Gordon St,GA,7063870060,,,open,N,,,, ,,,,
R81539,LET'S EAT,21301 S Tamiami Trail,FL,2396761951,,,suspended,N,,,, ,,,,
R81538,CHINA WOK,5701 Yadkin Rd,NC,9108673668,,,suspended,N,,,, ,,,,
R81535,*CHINA HOUSE*,4783 Tilghman St,PA,6103951855,,,open,N,,,, ,,,,
R81532,CHOPSTICKS,884 Remsen Ave,NY,7186293555,9174029077,,open,N,,,, ,,,,
R81531,CHINA COTTAGE,10535 Westheimer Rd,TX,7134615538,,,open,N,,,, ,,,,
R81533,GREAT WALL,837 E Midland Ave,NY,9149632920,,,open,N,,,, ,,,,
R81522,PANDA GARDEN,2600 E Milwaukee St,WI,6087545535,,,open,N,,,, ,,,,
R81527,*LUCKY GARDEN CENTRAL CITY*,110 W. Everly Brothers Blvd,KY,0,,,reject,N,,,, ,,,,
R81528,LUCKY BUFFET,1900 Lantaff Blvd,KY,0,,,reject,N,,,, ,,,,
R81529,WONDERFUL,352A Tompkins Ave,NY,9292343777,9178689060,,open,N,,,, ,,,,
R81523,DRAGON EXPRESS,2934 A Randleman Rd,NC,3363701111,,,open,N,,,, ,,,,
R81526,TAK KING,1367 Fulton St,NY,7186223416,7184273290,,open,N,,,, ,,,,
R81525,*CHINA HOUSE*,205 N Main St,SC,8034849118,,,open,N,,,, ,,,,
R81521,*TOP CHINA*,524 N Wheeler Ave,SC,8033643266,,,open,N,,,, ,,,,
R81519,CHINA ONE,816 Eastern Pkwy,KY,5026358588,,,open,N,,,, ,,,,
R81518,ASIAN CHOPSTICKS,4044 Woodhaven Rd,PA,2158241028,,,reject,N,,,, ,,,,
R81517,CHINA GARDEN,3004 Dauphin Island Pkwy,AL,2514786288,,,open,N,,,, ,,,,
R81516,GREAT WALL,1123 South Lake Dr,SC,8039578282,,,open,N,,,, ,,,,
R81513,STARRY ASIAN CUISINE,449 N Salina St,NY,3158831988,,,reject,N,,,, ,,,,
R81515,CHINA WOK,180 Stelton Rd,NJ,7329687333,,,open,N,,,, ,,,,
R81512,CHEN'S GARDEN,840 Church St,VA,7576232277,,,open,N,,,, ,,,,
R81511,*JIN JIN GARDEN*,450 W 18th St,KS,7852381713,7183109666,,open,N,,,, ,,,,
R81509,*NO.1*,115 N. Mill St,MI,9896810888,,,open,N,,,, ,,,,
R81508,*ASIAN VILLAGE*,451 S Evergreen Ave,NJ,8563848888,9173197993,,open,N,,,, ,,,,
R81507,^HONEY BEE^,18541 E Hampden Ave,CO,3034006118,,,open,N,,,, ,,,,
R81398,NEW PANDA II,1625 N Union Blvd,CO,7195748336,,,reject,N,,,, ,,,,
R81501,CHINA WOK,6372 York Road,MD,4103775933,,,open,N,,,, ,,,,
R81506,NEW GOLDEN EGG ROLL,1412 South 7 Highway,MO,8162297264,,,reject,N,,,, ,,,,
R81502,*CHINA #1*,3614 Buechel Bypass Road,KY,5024790003,3474627914,,open,N,,,, ,,,,
R81505,GOLDEN CHINA,7749 Normandy Blvd,FL,9046959990,,,open,N,,,, ,,,,
R81503,HAPPY GROUP,1150 Merrick Ave,NY,5164863211,5163168409,,open,N,,,, ,,,,
R81399,GREAT WALL,2908 A. N Ashley St,GA,2292422727,,,open,N,,,, ,,,,
R81397,*KING'S CHEF*,476 NE 125 St,FL,3058957878,,,open,N,,,, ,,,,
R81396,^SICHUAN TASTE^,10 Scott Adam Road,MD,4106281888,,,open,N,,,, ,,,,
R81395,HAPPY FORTUNE,1030 Forrest Ave,DE,3027308666,3022221349,,open,N,,,, ,,,,
R81393,*CHINA KING*,26831 S Tamiami Trail,FL,2394956800,2394956803,,open,N,,,, ,,,,
R81392,CHINA WOK,8813 Mitchell Blvd,FL,7273769797,7273769797,,open,N,,,, ,,,,
R81391,*GREAT WALL*,991 Prospect Ave,NY,7188424075,,,open,N,,,, ,,,,
R81389,^MOON STAR^,191 West Valley Ave,AL,2059407890,2052530590,,open,N,,,, ,,,,
R88889,*JADE FLOWER*,3105 West Broward Blvd,FL,9547922313,9546703393,,reject,N,,,, ,,,,
R81388,*LUCKY BAMBOO HOUSE*,9914 Liberty Rd,MD,4104966896,6462888279,,open,N,,,, ,,,,
R81383,*HAPPY HOUSE*,116-36 Springfield Blvd,NY,7189778260,6463316793,,open,N,,,, ,,,,
R81387,NEW CHINA,230 Dekalb Plaza Blvd.,AL,2568459379,6462062963,,open,N,,,, ,,,,
R81386,*TASTE OF CHINA*,27626 Middlebelt Rd,MI,2484748172,,,closed,N,,,, ,,,,
R81385,SHANG HAI,2699 NE 35th St,FL,3528678908,3528678942,,open,N,,,, ,,,,
R81381,*NEW BEST HUNAN*,418 Geyser Rd,NY,5185818234,9179712882,,open,N,,,, ,,,,
R81379,GREAT WALL,1622 38th St,IL,3097888288,,,open,N,,,, ,,,,
R81382,CHINA HOUSE,8275 S. Nc Highway 109,NC,3364758835,,,open,N,,,, ,,,,
R81377,*CHINA COOK*,6707 US-431 #105,AL,2565391200,2565203760,,closed,N,,,, ,,,,
R81378,GREAT CHINA,"2044 Atlantic Ave, Shop #A",VA,7575455088,,,open,N,,,, ,,,,
R81376,*CHINA WOK III*,170 West Lake Mary Blvd,FL,4073219666,9292911233,,open,N,,,, ,,,,
R81373,DRAGON CUISINE,401 North Market St,DE,3028881388,,,open,N,,,, ,,,,
R81375,*OLD PLACE ASIAN KITCHEN*,239 South St. Suite #E,VA,5406359161,,,open,N,,,, ,,,,
R81372,CHINA STAR,440 Main Street,CT,8607381266,,,open,N,,,, ,,,,
R81371,*CHINA TOWN*,4245 Mariner Blvd,FL,3526866682,6467059988,,open,N,,,, ,,,,
R81369,GOLDEN CHINA,13900 C.R. 455 Suite #113,FL,4076546877,,,open,N,,,, ,,,,
R81368,PEKING WOK,79 N. Fraley St,PA,8148371588,,,reject,N,,,, ,,,,
R81361,SKY DRAGON,2135 2nd Ave,NY,6466494708,9179770205,,open,N,,,, ,,,,
R81367,*NO.1*,197 Knickerbocker Ave,NY,7186287867,,,reject,N,,,, ,,,,
R81363,NEW CHINA,531 Warburton Ave,NY,9144784800,,,reject,N,,,, ,,,,
R81365,MOON HOUSE,706 Ashley Blvd,MA,5089989998,,,closed,N,,,, ,,,,
R81366,*NEW CHINA*,1855 Deerfield Rd,IL,8478310228,2244358968,,closed,N,,,, ,,,,
R81362,SUPER CHINA,9553 Shore Dr,VA,7573623363,,,open,N,,,, ,,,,
R81359,^MEI SING^,2827 Pawtucket Ave,RI,4014386699,4016269693,,open,N,,,, ,,,,
R81258,CHINA KING,1390 East Boone Ave,GA,9127298765,7186643677,,closed,N,,,, ,,,,
R81357,*SUNRISE ASIAN RESTAURANT*,"5806 Seven Mile Dr, Suite #103",FL,3527487999,6467250615,,open,N,,,, ,,,,
R81338,GARDEN CITY,224-01 Merrick Blvd,NY,7185288886,9175510818,,open,N,,,, ,,,,
R81356,^GOLDEN HOUSE^,569 Warren Ave,RI,4014310588,,,open,N,,,, ,,,,
R81358,DRAGON ONE,2076 8th Ave,NY,2122224246,,,open,N,,,, ,,,,
R81355,^CHINA HOUSE^,14361 Livernois Ave,MI,3139358888,3473389916,,open,N,,,, ,,,,
R81352,^THAI GARDEN^,508 Diagonal St,WA,5097581388,2085538715,,open,N,,,, ,,,,
R81353,*JADE BAMBOO*,64-72 Dry Harbor Rd,NY,7183263998,,,open,N,,,, ,,,,
R81339,^DRAGON VILLAGE^,1795 Westchester Ave,NY,7185971900,,,open,N,,,, ,,,,
R81351,CHINA WOK,5 Dodge St,MA,9785248833,,,reject,N,,,, ,,,,
R81336,TASTE OF CHINA,2531 East Lyon Station Rd,NC,9195286300,6469631179,,reject,N,,,, ,,,,
R81335,*BEIJING CAFE*,6950 Collins Ave,FL,3058662855,6463092799,,open,N,,,, ,,,,
R81333,NEW CHINA,2290 Culver Road,NY,5852669190,,,open,N,,,, ,,,,
R81332,JUNE HENG,112 N Barrington Rd,IL,6302899400,,,closed,N,,,, ,,,,
R81329,*CHINA CITY*,13715 West Nine Mile Rd,MI,2485474663,,,open,N,,,, ,,,,
R81327,FAR EAST ONE,5022 E. 10th Ave,FL,8132424868,,,open,N,,,, ,,,,
R81325,NUMBER 1 WOK,10175 Tamiami Trail,FL,9418330299,9412865244,,open,N,,,, ,,,,
R81328,^FRIED RICE KITCHEN^,2623 W. Atlantic Blvd,FL,9549736477,,,open,N,,,, ,,,,
R81326,HONG KONG,1303 SE 17th St,FL,9547288897,9546048803,,open,N,,,, ,,,,
R81322,ASIAN FUSION,4367 Ebenezer Rd,MD,4102561770,,,closed,N,,,, ,,,,
R81323,SUNNY WOK,604 N Maple Ave,NJ,2016128811,,,open,N,,,, ,,,,
R81321,GRAND CHINA,39 S. Centre St,NJ,8566610212,,,open,N,,,, ,,,,
R81319,*GOLDEN CHINA*,1323 St Lucie W Blvd,FL,7722077868,,,closed,N,,,, ,,,,
R81318,^CRAZY WINGS^,3036 Ballentine Blvd,VA,7578558880,,,open,N,,,, ,,,,
R81316,PEKING,129 W Main St,OH,4192810004,,,open,N,,,, ,,,,
R81317,CHINA DRAGON,2914 West End Ave,TN,6153279200,,,open,N,,,, ,,,,
R81299,CHINA KITCHEN,5108 Old Springville Rd,AL,2058543208,,,reject,N,,,, ,,,,
R81298,CHINA,108 N Main St,KS,7852126188,,,reject,N,,,, ,,,,
R81297,^ORIENTAL KITCHEN^,919 N 18th Street,PA,2152357878,4849359080,,open,N,,,, ,,,,
R81296,NEW CHINA GOURMET,21960 23 Mile Rd,MI,5869499777,6462550996,,open,N,,,, ,,,,
R81295,NEW GREAT WALL,6871 W 130th St,OH,4408889999,,,open,N,,,, ,,,,
R81292,LI LI,83-06 Grand Ave,NY,7185336500,9179126162,,open,N,,,, ,,,,
R81293,GOLDEN CHINA,920 W City Hwy 16,WI,6087863788,,,open,N,,,, ,,,,
R81291,*CHINA GARDEN*,1216 N Main St,FL,3523721855,9173657981,,open,N,,,, ,,,,
R88916,YUM YUM,6390 Indiantown Rd,FL,5617473200,,,open,N,,,, ,,,,
R81288,^NEW WONG'S^,5664 Washington St,FL,9549897828,,,open,N,,,, ,,,,
R81286,GOLDEN PALACE,1711 Mur-Len Rd,KS,9137801511,,,open,N,,,, ,,,,
R81287,CHINA ONE,87 River Dr,NJ,9737788866,9178626788,,open,N,,,, ,,,,
R81282,TING HO KITCHEN,577 Uniondale Ave,NY,5164867630,,,suspended,N,,,, ,,,,
R81283,*GREEN TEA*,5710 Ogeechee Rd,GA,9122369488,6462841115,,open,N,,,, ,,,,
R81219,JIN JIN,137 Egg Harbor Rd,NJ,8562322288,,,open,N,,,, ,,,,
R81285,DIAMOND,446 Amboy Ave,NJ,7328261118,,,open,N,,,, ,,,,
R81279,CHINA 1,3841 US Hwy 301 S,FL,8136265577,6462892258,,open,Y,,,3841 US Highway 301 S,(813) 626-7779,,,,
R81273,SUN HING,654 Wolcott Rd,CT,2038798898,9173303768,,open,N,,,, ,,,,
R81269,CHENG'S GOURMET,543 W 2nd St,OH,9373722233,,,open,N,,,, ,,,,
R81278,CHEN GARDEN,1212 Mulberry St,PA,5703542152,,,open,N,,,, ,,,,
R81277,LITTLE CHINA,515 Amy Drive,WI,6085269797,,,open,N,,,, ,,,,
R81276,NEW STAR,605 Avenue Z,NY,7188916868,,,reject,N,,,, ,,,,
R81275,DRAGON BUFFET,550 Walton Drive,WI,9204495013,,,open,N,,,, ,,,,
R81271,EN LAI,2356 Essington Rd,IL,8152549988,,,open,N,,,, ,,,,
R81272,NO 1,2949 Traverse Trail,FL,3525614314,9178085329,,open,N,,,, ,,,,
R81267,BEST CHINESE,5501 1/2 Reisterstown Rd,MD,4103586918,,,open,N,,,, ,,,,
R81268,JIN JIN,6209 US-90,FL,8506239009,,,suspended,N,,,, ,,,,
R81266,*ASIAN DELIGHT*,2126 Park Road,IN,7658271998,,,open,N,,,, ,,,,
R81263,*HUNA CHINA*,10 Lincoln Park Plaza,NJ,9736946488,6465089096,,open,N,,,, ,,,,
R81253,*CHINA EXPRESS*,26-28 Eastern Point Rd,CT,0,,,reject,N,,,, ,,,,
R81262,*PANDA*,73-03 Yellowstone Blvd,NY,7182688899,,,open,N,,,, ,,,,
R99993,SKT TECHNOLOGIES,33-01 Queens Blvd,NY,1885551111,1885553333,,test,N,,,, ,,,,
R81265,KO SHENG,3350 Cleveland Ave,OH,6142621885,3473317265,,open,N,,,, ,,,,
R81261,^ASHEBORO CHINA HOUSE^,1200 N Fayetteville St,NC,3363280661,3365428366,,open,N,,,, ,,,,
R81257,CHINA CAFE,4605 16th Street,IL,3095176185,,,open,N,,,, ,,,,
585-326-0518,*SALES TESTING*,1610 Crosby Ave,NY,5853260518,,,test,N,,,, ,,,,
R81259,YUM YUM EXPRESS,6877 Dorchester Rd,SC,8437671828,,,open,N,,,, ,,,,
R81239,*CHINA KING*,3720 W Truman Blvd,MO,5736592337,,,open,N,,,, ,,,,
R81256,^BAMBOO GARDENS^,907 6th St,WA,5097588898,,,open,N,,,, ,,,,
R81255,CHINA KITCHEN,5332 N Cumberland Ave,IL,7736933223,,,open,N,,,, ,,,,
R81252,*CHINA KITCHEN*,3451 Peach Orchard Rd,GA,7067982611,,,open,N,,,, ,,,,
R81251,ASIAN GRILL,1427 Goodman Rd W,MS,6623422802,,,open,N,,,, ,,,,
R81238,*WOK N ROLL*,1680 Dunn Ave,FL,9047578988,,,open,N,,,, ,,,,
R81237,*JADE'S GARDEN*,411 E. South Street,IL,6305529828,,,open,N,,,, ,,,,
R81236,GOLDEN CHOPSTICKS,644 US-1,FL,5617488688,5618095970,,open,N,,,, ,,,,
R81235,GREAT WALL,2359 Grand Concourse,NY,7183671277,3472484763,,open,N,,,, ,,,,
R81233,DRAGON EXPRESS,3523 Roosevelt Blvd,OH,5137278880,6463225505,,open,N,,,, ,,,,
R81232,YUMMY KITCHEN,1603 Park Ave,NJ,9087558889,,,open,N,,,, ,,,,
R81229,NO. 1,130 NC-102,NC,2527469919,9179516216,,open,N,,,, ,,,,
R81185,PANDA PAVILION,60 Access Rd,CT,2033753730,,,reject,N,,,, ,,,,
R81231,DRAGON CHINA,8 E State St,OH,0,,,reject,N,,,, ,,,,
R81225,NO.1 CHINESE KITCHEN,106 Reisterstown Rd,MD,4104862878,,,open,N,,,, ,,,,
R81228,*CHINA 1*,12004 Indian Rocks Rd,FL,7275178788,,,open,N,,,, ,,,,
R81227,*WANG CAI*,209 S State Rd 135,IN,3178888595,3478636207,,open,N,,,, ,,,,
R81226,*NEW PANDA HOUSE*,4451 Winnetka Ave N,MN,7633980808,,,open,N,,,, ,,,,
R81315,KING FOOD,7426 Frankford Ave,PA,2153329390,,,open,N,,,, ,,,,
R81222,CHAR KOON,1152 Mae Street,PA,7173121616,7173121626,,reject,N,,,, ,,,,
R81223,HONG KONG,4935 Gulfport Blvd,FL,7273220888,,,open,N,,,, ,,,,
R81221,*WONTON CHINESE RESTAURANT*,135 Highway 23 West,MN,3209688886,,,reject,N,,,, ,,,,
R81217,U LIKE,2151 Lemoine Avenue,NJ,2019443333,,,reject,N,,,, ,,,,
R81212,*GOLDEN DRAGON*,1464 Mount Pleasant Rd,VA,7574825602,,,open,N,,,, ,,,,
R81216,FU HING,874 Broadway,NJ,2014367775,,,reject,N,,,, ,,,,
R81211,DEAN HOUSE,14393 Pearl Rd,OH,4402689598,,,open,N,,,, ,,,,
R81213,CHINA TOWN,141 Collins Rd,WI,9206751666,,,open,N,,,, ,,,,
R81313,CHINA CAFE,3018 E. 53rd Street,IA,5634419989,5633552253,,open,N,,,, ,,,,
R81311,RICE KING,1512 Broadway St,OH,4192553968,,,open,N,,,, ,,,,
R81309,RISING DRAGON,814 Yellow Brick Rd,MN,9523689388,,,open,N,,,, ,,,,
R81308,TASTE OF CHINA,4579 University Dr,IN,8124221260,,,open,N,,,, ,,,,
R81307,*CHEF CHEN*,11302 Quail Roost Dr,FL,3052348877,,,open,N,,,, ,,,,
R81209,LING LING,2758 Elmwood Ave,NY,0,,,reject,N,,,, ,,,,
R81306,GOLDEN LILY,6253 Pearl Rd,OH,4408857388,,,open,N,,,, ,,,,
R81303,^FAR SING^,140 Main St,NY,5165932525,,,open,N,,,, ,,,,
R81305,ASIAN CAFE,2316 Bel Air Rd,MD,4108772500,,,open,N,,,, ,,,,
R81301,*NEW CHINA BUFFET*,2719 Brodhead Rd,PA,0,,,reject,N,,,, ,,,,
R81302,HOW MAY KITCHEN,743 Montauk Hwy,NY,6312890002,,,open,N,,,, ,,,,
R81208,RICE HOUSE,226 Brandilynn Blvd,IA,3192669999,,,open,N,,,, ,,,,
R81207,CHINA GARDEN,501 N Main St,IN,8124226699,,,open,N,,,, ,,,,
R81206,CHINA EXPRESS,1801 Cumberland Ave,KY,6062485000,,,open,N,,,, ,,,,
R81203,*GREAT WALL*,603 N U.S. Hwy 41,FL,8136458887,8135314791,,open,N,,,, ,,,,
R81205,HONG KONG,11204 Park Blvd,FL,7273209588,,,open,N,,,, ,,,,
R99999,**WONDERS**,3301 Queens Blvd,NY,9172852220,,,open,N,,,, ,,,,
R81202,*HOT WOK*,1887 Knox McRae Dr,FL,3213833286,,,open,N,,,, ,,,,
R81201,JADE GARDEN,3620 Gateway Dr,WI,7158339868,7158289368,,open,N,,,, ,,,,
R81199,GREAT WALL,1731 National Rd W,IN,7659625255,7652772266,,suspended,N,,,, ,,,,
R81195,^CHINA LILY^,360 Moore Rd,FL,4076566868,3213169346,,new,N,,,, ,,,,
R81193,CHINA KING,1400-150 Walter Reed Rd.,NC,9103239888,,,open,N,,,, ,,,,
R81198,CHINA WOK,23004 Sandalfoot Plaza Dr.,FL,5614887388,,,reject,N,,,, ,,,,
N,,4 West 66th Street,MN,6128611555,,,reject,N,,,, ,,,,
R81192,*MAIN MOON*,909-E. West Vernon Avenue,NC,0,2527750277,,reject,N,,,, ,,,,
R81191,BAMBOO GARDEN,103 N Broadway St,OK,4055982288,,,open,N,,,, ,,,,
R81187,*MANDARIN CAFE*,4B Wethersfield Rd.,MA,5086518771,,,closed,N,,,, ,,,,
R81189,PEKIN 2,3640 N.W. 7th Street,FL,3056493555,3058909743,,reject,N,,,, ,,,,
R81188,MR. RICE,328 Saint Georges Avenue,NJ,7323888001,,,reject,N,,,, ,,,,
R81171,CHINA DRAGON,2200 E 2nd St,AL,2519682115,6788993558,,open,N,,,, ,,,,
R81186,LIU'S GARDEN,11517 Shelbyville Rd,KY,5022449898,6464418577,,open,N,,,, ,,,,
R81183,CHINESE KITCHEN,64 Pleasant Valley Rd S,CT,8604456000,6463714205,,open,N,,,, ,,,,
R81182,CHINA SPRING,126 General Puller Hwy G,VA,8047582266,9177708200,,open,N,,,, ,,,,
R81181,*CHEF CHEN*,2743 Elm Rd,OH,3303726199,4406547538,,open,N,,,, ,,,,
R81178,*NEW OCEAN*,1128 E Luzerne St,PA,2152887871,,,open,N,,,, ,,,,
R81175,*SZECHUAN WOK*,126 E. Byers Avenue,PA,7249258189,,,closed,N,,,, ,,,,
